url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",4564,3533,5827,5248,4544,3516,5223,5801
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",110,102,179,161,108,100,156,174
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1093,698,876,719,279,192,166,205
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",3711,3212,2144,1989,3711,3212,1989,2144
https://zenodo.org/records/2643411,"""Stephen Royle""",104,100,777,746,104,100,744,775
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",72,71,49,47,72,71,47,49
https://zenodo.org/records/4328911,"""Bankhead, Peter""",172,160,51,49,171,159,49,51
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",31,29,52,49,31,29,49,52
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",78,59,113,108,78,59,108,113
https://zenodo.org/records/10815329,"""Haase, Robert""",306,229,324,304,253,187,263,276
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",158,129,216,207,158,129,207,216
https://zenodo.org/records/10654775,"""Haase, Robert""",185,160,400,365,75,70,232,258
https://zenodo.org/records/10008465,"""Moore, Josh""",96,63,110,105,96,63,105,110
https://zenodo.org/records/10972692,"""Haase, Robert""",168,121,213,191,163,117,177,195
https://zenodo.org/records/10990107,"""Haase, Robert""",142,96,196,180,127,83,152,165
https://zenodo.org/records/10970869,"""Haase, Robert""",91,77,114,108,91,77,108,114
https://zenodo.org/records/11066250,"""Haase, Robert""",88,71,74,65,82,65,53,61
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",129,98,139,127,129,98,127,139
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",100,79,122,112,100,79,112,122
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",542,424,227,171,542,424,171,227
https://zenodo.org/records/11265038,"""Pape, Constantin""",34,27,24,20,34,27,20,24
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",48,31,71,66,48,31,66,71
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",38,21,45,39,38,21,39,45
https://zenodo.org/records/10816895,"""Haase, Robert""",62,50,74,68,62,50,68,74
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",280,253,508,486,277,250,484,506
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",35,27,67,64,35,27,64,67
https://zenodo.org/records/11396199,"""Voigt, Pia""",30,27,68,66,30,27,66,68
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",243,218,432,388,122,111,151,159
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",340,307,501,472,165,148,185,195
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",271,237,343,315,107,96,108,119
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",1731,1450,2074,1760,1680,1415,1629,1914
https://zenodo.org/records/11109616,"""Fuchs, Vanessa Aphaia Fiona and Schmidt, Christian and Boissonnet, Tom""",195,178,125,119,195,178,119,125
https://zenodo.org/record/7018929,"""Kunis, Susanne""",26,19,113,106,26,19,104,111
https://zenodo.org/records/8329306,"""Kunis, Susanne""",59,48,63,59,56,45,56,60
